Date,Adj Close(t-14),Adj Close(t-13),Adj Close(t-12),Adj Close(t-11),Adj Close(t-10),Adj Close(t-9),Adj Close(t-8),Adj Close(t-7),Adj Close(t-6),Adj Close(t-5),Adj Close(t-4),Adj Close(t-3),Adj Close(t-2),Adj Close(t-1),Adj Close
2015-01-09,0.00017466434572371414,0.0002070070993489678,0.00026522405587442455,0.0002442012660180096,0.00023126416456790803,0.0002344984399304333,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.0001067388607056117,0.00011967608768337617
2015-01-12,0.0002070070993489678,0.00026522405587442455,0.0002442012660180096,0.00023126416456790803,0.0002344984399304333,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00011967608768337617,7.924725337786096e-05
2015-01-13,0.00026522405587442455,0.0002442012660180096,0.00023126416456790803,0.0002344984399304333,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,7.924725337786096e-05,7.439579326119902e-05
2015-01-14,0.0002442012660180096,0.00023126416456790803,0.0002344984399304333,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,7.439579326119902e-05,8.733302023896435e-05
2015-01-15,0.00023126416456790803,0.0002344984399304333,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,8.733302023896435e-05,6.469287302787556e-05
2015-01-16,0.0002344984399304333,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,6.469287302787556e-05,0.0001229103944278176
2015-01-20,0.0002296470268866456,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.0001229103944278176,0.0001326133146611415
2015-01-21,0.00019892141094265438,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.0001326133146611415,0.0001779003472223697
2015-01-22,0.00014716626706857625,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.0001779003472223697,0.00023450071525009126
2015-01-23,0.00016011010659234973,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.00023450071525009126,0.0002442036354834147
2015-01-26,0.00010512068735574632,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.0002442012660180096,0.0002442036354834147,0.0002296492551334293
2015-01-27,8.08568840631298e-06,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.0002442012660180096,0.00025390409210558585,0.0002296492551334293,6.954433314453707e-05
2015-01-28,0.0,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.0002442012660180096,0.00025390409210558585,0.00023934985297422145,6.954433314453707e-05,1.7795425233477907e-05
2015-01-29,0.00011644065112458545,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.0002442012660180096,0.00025390409210558585,0.00023934985297422145,7.924648445554322e-05,1.7795425233477907e-05,9.38016337278468e-05
2015-01-30,0.00012937775257468656,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.0002442012660180096,0.00025390409210558585,0.00023934985297422145,7.924648445554322e-05,2.7498078655137457e-05,9.38016337278468e-05,0.0
2015-02-02,8.894931054311949e-05,8.409789749933136e-05,9.70349989494329e-05,7.439507141175509e-05,0.00013261202793721227,0.00014231485402478854,0.00018760144717381525,0.0002442012660180096,0.00025390409210558585,0.00023934985297422145,7.924648445554322e-05,2.7498078655137457e-05,0.0001035035496744839,0.0,6.7927179772317e-05
